,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,5,1,24,1,1,1,1056,23,64,24,95.966629,tax
1,5,1,24,1,1,2,1133,23,132,24,95.966629,invoice
2,5,1,24,1,1,3,1707,28,143,22,96.330345,original
3,5,1,24,1,1,4,1862,28,62,22,96.913445,for
4,5,1,24,1,1,5,1935,28,103,22,96.324173,buyer
5,5,1,24,1,1,6,2146,18,46,16,49.060524,wb:
6,5,1,24,1,1,7,2231,18,85,16,51.0779,“5232125
7,5,1,24,1,2,1,24,76,133,16,96.48201,manufacturer:
8,5,1,24,1,2,2,168,82,54,16,83.943871,shahi
9,5,1,24,1,2,3,231,82,73,20,96.868019,exports
10,5,1,24,1,2,4,313,82,35,16,95.580513,pvt.
11,5,1,24,1,2,5,357,82,34,16,96.699059,ltd.
12,5,1,24,1,2,6,1564,79,95,20,92.33812,transport
13,5,1,24,1,2,7,1667,79,64,16,92.33812,mode:
14,5,1,24,1,2,8,1773,79,43,16,88.569351,sea
15,5,1,24,1,3,1,169,112,102,18,87.119934,"ambalipura,"
16,5,1,24,1,3,2,280,112,76,14,93.083092,belandur
17,5,1,24,1,3,3,363,112,45,16,93.26535,"gate,"
18,5,1,24,1,3,4,416,112,82,18,92.490265,sarjapura
19,5,1,24,1,3,5,506,112,39,14,92.217957,main
20,5,1,24,1,3,6,553,112,143,18,91.67112,"road,bangalore,"
21,5,1,24,1,3,7,988,110,76,18,95.964699,invoice
22,5,1,24,1,3,8,1074,110,42,18,92.052216,no:
23,5,1,24,1,3,9,1194,110,132,18,96.74498,1291908241
24,5,1,24,1,3,10,1567,115,71,16,96.88665,vehicle
25,5,1,24,1,3,11,1647,115,26,16,90.250595,no
26,5,1,24,1,3,12,1682,119,3,12,91.472031,:
27,5,1,24,1,4,1,171,135,86,18,96.282127,bengaluru
28,5,1,24,1,4,2,265,135,55,17,96.779465,"urban,"
29,5,1,24,1,4,3,328,135,87,14,93.102829,karnataka
30,5,1,24,1,4,4,422,143,5,2,93.102829,-
31,5,1,24,1,4,5,434,135,63,14,96.115753,560102
32,5,1,24,1,5,1,988,165,76,18,96.947563,invoice
33,5,1,24,1,5,2,1074,165,50,18,93.210594,date
34,5,1,24,1,5,3,1134,170,3,13,93.072205,:
35,5,1,24,1,5,4,1198,165,123,18,96.443863,21-01-20
36,5,1,24,1,5,5,1568,159,57,21,96.860909,buyer
37,5,1,24,1,5,6,1632,159,56,16,58.16534,order
38,5,1,24,1,5,7,1695,159,32,16,58.16534,no:
39,5,1,24,1,5,8,1765,159,109,16,44.741089,750557186
40,5,1,24,1,6,1,173,220,70,16,92.596245,state
41,5,1,24,1,6,2,252,224,2,12,76.86528,:
42,5,1,24,1,6,3,264,220,133,16,96.153908,karnataka
43,5,1,24,1,6,4,563,220,42,16,92.619507,pan
44,5,1,24,1,6,5,615,224,2,12,43.41135,:
45,5,1,24,1,6,6,625,220,133,16,79.790909,aajcs1175l
46,5,1,24,1,6,7,1568,209,86,21,0,payment
47,5,1,24,1,6,8,1661,209,62,16,0,tem:
48,5,1,24,1,6,9,1767,209,26,16,64.581131,“tt
49,5,1,24,1,6,10,1802,209,105,16,83.12043,payment
50,5,1,24,1,7,1,170,248,66,16,92.259521,gstin
51,5,1,24,1,7,2,245,252,3,12,91.854279,:
52,5,1,24,1,7,3,256,248,198,16,90.819237,29aajcs1175l1zu
53,5,1,24,1,7,4,562,248,50,16,96.572197,state
54,5,1,24,1,7,5,620,248,57,16,96.534927,code:
55,5,1,24,1,7,6,687,249,23,16,96.936325,29
56,5,1,24,1,7,7,1767,243,23,16,96.565735,60
57,5,1,24,1,7,8,1799,243,58,16,96.447754,days
58,5,1,24,1,7,9,1866,243,62,16,96.4263,from
59,5,1,24,1,7,10,1937,243,113,16,96.257294,shipment
60,5,1,24,1,7,11,2058,243,28,16,93.288124,by
61,5,1,24,1,7,12,2094,243,124,16,91.84903,rgts/neft
62,5,1,24,1,8,1,23,287,43,20,96.944504,ship
63,5,1,24,1,8,2,73,287,25,16,96.944504,to
64,5,1,24,1,8,3,168,287,134,16,96.09893,decathlon
65,5,1,24,1,8,4,311,287,89,16,96.639778,sports
66,5,1,24,1,8,5,409,287,57,16,96.869553,india
67,5,1,24,1,8,6,474,287,93,16,96.534798,private
68,5,1,24,1,8,7,576,287,39,16,96.503098,ltd
69,5,1,24,1,8,8,915,284,27,16,96.385712,bill
70,5,1,24,1,8,9,956,284,25,16,90.299026,to
71,5,1,24,1,8,10,996,288,2,12,86.582359,:
72,5,1,24,1,8,11,1077,287,133,16,96.442863,decathlon
73,5,1,24,1,8,12,1219,287,89,16,96.285034,sports
74,5,1,24,1,8,13,1318,287,57,16,95.97654,india
75,5,1,24,1,8,14,1383,287,41,16,96.253006,pvt
76,5,1,24,1,8,15,1432,287,39,16,94.565285,ltd
77,5,1,24,1,9,1,168,316,32,27,90.553978,c/o
78,5,1,24,1,9,2,209,316,42,16,96.790161,dhl
79,5,1,24,1,9,3,259,316,66,21,96.89592,supply
80,5,1,24,1,9,4,333,316,56,16,96.909637,chain
81,5,1,24,1,9,5,398,316,44,27,96.799835,india
82,5,1,24,1,9,6,451,316,30,16,89.67939,pvt
83,5,1,24,1,9,7,489,316,34,19,89.283241,"ltd,"
84,5,1,24,1,9,8,538,316,80,21,89.283241,survey#
85,5,1,24,1,9,9,625,316,47,19,92.888664,41/2;
86,5,1,24,1,9,10,681,316,90,20,92.41243,oblapura
87,5,1,24,1,9,11,1082,321,67,21,93.300842,survey
88,5,1,24,1,9,12,1157,321,84,16,91.40538,number-
89,5,1,24,1,9,13,1249,321,87,19,92.916618,"78/10,a2"
90,5,1,24,1,9,14,1345,321,66,21,96.661049,bellary
91,5,1,24,1,9,15,1419,321,50,16,78.287094,road
92,5,1,24,1,9,16,1484,321,100,21,78.287094,chikkajala
93,5,1,24,1,10,1,167,341,71,21,92.321518,village;
94,5,1,24,1,10,2,252,341,170,21,60.228645,"anugondonahalli,"
95,5,1,24,1,10,3,431,341,92,16,92.524536,hosakote
96,5,1,24,1,10,4,530,341,58,19,96.869072,taluk;
97,5,1,24,1,10,5,598,341,99,21,93.168793,bangalore
98,5,1,24,1,10,6,704,350,6,2,93.168793,-
99,5,1,24,1,10,7,719,341,35,16,95.705574,560
100,5,1,24,1,10,8,1081,347,178,21,90.332062,"village,bengaluru,"
101,5,1,24,1,10,9,1275,347,98,16,96.867294,karnataka
102,5,1,24,1,10,10,1382,347,72,16,96.751083,562157
103,5,1,24,1,10,11,1461,347,34,16,93.103745,tin
104,5,1,24,1,10,12,1503,356,7,2,93.026825,-
105,5,1,24,1,10,13,1517,347,140,19,96.752373,"29640215582,"
106,5,1,24,1,11,1,167,367,36,16,96.815529,67
107,5,1,24,1,11,2,211,367,99,16,96.954773,karnataka
108,5,1,24,1,11,3,1082,373,42,16,93.217949,pan
109,5,1,24,1,11,4,1133,382,6,2,91.312866,-
110,5,1,24,1,11,5,1146,373,137,16,92.214973,aaacl9861h
111,5,1,24,1,12,1,23,429,50,16,92.434174,state
112,5,1,24,1,12,2,82,433,3,12,83.613892,:
113,5,1,24,1,12,3,174,429,132,16,96.472305,karnataka
114,5,1,24,1,13,1,23,459,78,16,91.44075,gstin:
115,5,1,24,1,13,2,170,450,200,29,74.158722,29aaacl9861h1z2
116,5,1,24,1,13,3,526,459,50,16,96.336929,state
117,5,1,24,1,13,4,584,459,56,16,95.661766,code:
118,5,1,24,1,13,5,664,457,23,16,95.661766,29
119,5,1,24,1,13,6,962,454,77,16,92.214066,gstin:
120,5,1,24,1,13,7,1064,450,10,29,11.262497,|
121,5,1,24,1,13,8,1081,454,200,16,11.262497,29aaacl9861h1z2
122,5,1,24,1,13,9,1470,454,50,16,96.978134,state
123,5,1,24,1,13,10,1529,454,51,16,96.508163,code
124,5,1,24,1,13,11,1589,454,23,16,96.508163,29
125,5,1,24,1,13,12,1679,454,50,16,90.342506,state
126,5,1,24,1,13,13,1738,454,141,16,79.794716,:karnataka
127,5,1,24,1,14,1,41,501,30,16,34.072548,sl#
128,5,1,24,1,14,2,96,501,108,20,93.964226,description
129,5,1,24,1,14,3,212,501,19,16,97.006271,of
130,5,1,24,1,14,4,237,501,64,16,96.996475,goods
131,5,1,24,1,14,5,672,502,44,16,96.945442,hsn
132,5,1,24,1,14,6,725,502,51,16,96.637184,code
133,5,1,24,1,14,7,855,501,33,21,91.687332,qty
134,5,1,24,1,14,8,905,501,48,16,91.687332,uom
135,5,1,24,1,14,9,1007,493,45,33,96.966217,rate
136,5,1,24,1,14,10,1132,501,76,16,10.38649,amount]
137,5,1,24,1,14,11,1226,501,85,16,89.248932,discount|
138,5,1,24,1,14,12,1373,505,29,16,94.543373,up
139,5,1,24,1,14,13,1455,493,77,33,95.922867,taxable
140,5,1,24,1,14,14,1606,498,60,16,91.980911,cgst
141,5,1,24,1,14,15,1805,501,59,16,91.191238,sgst
142,5,1,24,1,14,16,2011,496,49,15,85.964188,igst
143,5,1,24,1,14,17,2177,501,47,16,96.646614,total
144,5,1,24,1,14,18,2232,501,56,16,96.928345,value
145,5,1,24,1,15,1,695,528,58,21,96.071831,(gst)
146,5,1,24,1,15,2,1001,530,51,21,96.872665,(inr)
147,5,1,24,1,15,3,1320,526,82,33,96.758774,charges
148,5,1,24,1,15,4,1477,528,55,16,0,value)
149,5,1,24,1,15,5,1557,534,17,17,0,%
150,5,1,24,1,15,6,1660,534,76,16,80.180733,amount]
151,5,1,24,1,15,7,1759,534,17,17,87.80191,%
152,5,1,24,1,15,8,1857,534,76,16,58.010033,amount]
153,5,1,24,1,15,9,1957,534,17,17,82.952225,%
154,5,1,24,1,15,10,2060,534,76,16,96.969376,amount
155,5,1,24,1,16,1,54,573,5,14,96.027824,1
156,5,1,24,1,16,2,96,574,120,14,91.211037,readymade
157,5,1,24,1,16,3,224,574,108,14,96.49437,garments
158,5,1,24,1,16,4,340,574,54,18,96.49437,(100%
159,5,1,24,1,16,5,401,574,115,14,96.685829,polyester
160,5,1,24,1,16,6,524,574,53,14,96.542053,mens
161,5,1,24,1,16,7,670,573,85,14,95.515121,62033300
162,5,1,24,1,16,8,846,573,42,14,95.722466,4806
163,5,1,24,1,16,9,910,573,38,14,95.722466,pcs
164,5,1,24,1,16,10,994,573,58,14,95.757118,514.6
165,5,1,24,1,16,11,1106,573,101,14,91.057961,2473167.6
166,5,1,24,1,16,12,1274,569,40,26,37.511822,0.00}
167,5,1,24,1,16,13,1366,573,36,14,92.101654,0
168,5,1,24,1,16,14,1411,569,10,26,90.194199,|
169,5,1,24,1,16,15,1431,573,101,14,86.976692,2473167.60)
170,5,1,24,1,16,16,1550,573,36,14,96.926834,2.5
171,5,1,24,1,16,17,1656,573,79,14,71.911789,61829.19|
172,5,1,24,1,16,18,1755,573,36,14,96.825974,2.5
173,5,1,24,1,16,19,1853,573,80,14,78.820786,61829.19]
174,5,1,24,1,16,20,1951,573,36,14,96.131538,0
175,5,1,24,1,16,21,2093,573,37,14,95.713676,0
176,5,1,24,1,16,22,2187,573,101,14,92.579338,2596825.98
177,5,1,24,1,17,1,95,596,86,14,96.228149,jackets
178,5,1,24,1,17,2,188,596,48,14,95.780891,with
179,5,1,24,1,17,3,244,596,62,14,95.780891,lining
180,5,1,24,1,17,4,313,596,40,14,96.14119,and
181,5,1,24,1,17,5,360,596,87,14,93.283691,padding
182,5,1,24,1,17,6,455,596,4,18,92.908707,)
183,5,1,24,1,18,1,27,899,62,20,90.649994,item
184,5,1,24,1,18,2,99,899,15,20,90.649994,#
185,5,1,24,1,18,3,128,900,96,18,91.710556,2121844
186,5,1,24,1,18,4,239,910,7,3,59.930321,-
187,5,1,24,1,18,5,257,900,51,18,59.930321,1200
188,5,1,24,1,18,6,318,900,55,21,79.842033,"pcs,"
189,5,1,24,1,19,1,128,929,105,18,92.904381,2121845-
190,5,1,24,1,19,2,243,929,52,18,96.094589,1890
191,5,1,24,1,19,3,305,929,54,21,96.069489,"pcs,"
192,5,1,24,1,20,1,128,957,105,18,92.291267,2121846-
193,5,1,24,1,20,2,243,957,52,18,95.867889,1200
194,5,1,24,1,20,3,305,957,54,21,95.867889,"pcs,"
195,5,1,24,1,21,1,128,986,96,18,96.550491,2121847
196,5,1,24,1,21,2,292,986,56,18,86.944603,-516
197,5,1,24,1,21,3,357,986,49,18,96.154037,pcs
198,5,1,24,1,22,1,35,1190,33,16,96.672478,net
199,5,1,24,1,22,2,76,1190,32,16,96.923416,net
200,5,1,24,1,22,3,115,1190,73,21,96.925232,weight:
201,5,1,24,1,22,4,295,1190,54,16,96.827675,0
202,5,1,24,1,22,5,850,1188,71,16,92.4123,total
203,5,1,24,1,22,6,928,1188,12,16,92.4123,#
204,5,1,24,1,22,7,1088,1187,114,16,45.648571,2473167.6
205,5,1,24,1,22,8,1263,1187,41,16,96.765167,0
206,5,1,24,1,22,9,1363,1187,41,16,85.019165,0.00]
207,5,1,24,1,22,10,1430,1188,90,16,93.537369,2473167
208,5,1,24,1,22,11,1622,1187,91,16,92.637207,61829.19
209,5,1,24,1,22,12,1830,1187,91,16,90.772942,61829.19
210,5,1,24,1,22,13,2063,1187,41,16,96.677353,0
211,5,1,24,1,22,14,2175,1187,116,16,91.315125,2596825.98
212,5,1,24,1,23,1,28,1318,75,18,96.049652,values
213,5,1,24,1,23,2,113,1318,16,18,94.924187,in
214,5,1,24,1,23,3,138,1318,71,18,94.924187,words
215,5,1,24,1,23,4,218,1318,57,23,92.817566,(inr)
216,5,1,24,1,23,5,285,1323,3,3,91.942726,:
217,5,1,24,1,23,6,1896,1307,53,18,96.833214,total
218,5,1,24,1,23,7,1960,1307,76,18,96.186592,invoice
219,5,1,24,1,23,8,2045,1307,75,18,92.056702,value:
220,5,1,24,1,23,9,2154,1305,145,20,90.086189,2596825.98
221,5,1,25,1,1,1,316,1318,79,23,95.817657,twenty
222,5,1,25,1,1,2,412,1318,44,18,95.817657,five
223,5,1,25,1,1,3,465,1318,51,18,96.523209,lakh
224,5,1,25,1,1,4,527,1318,68,23,96.564423,ninety
225,5,1,25,1,1,5,611,1318,33,18,96.610268,six
226,5,1,25,1,1,6,652,1318,109,18,96.092972,thousand
227,5,1,25,1,1,7,771,1318,55,23,96.615097,eight
228,5,1,25,1,1,8,835,1318,93,18,95.997284,hundred
229,5,1,25,1,1,9,937,1318,79,23,96.656975,twenty
230,5,1,25,1,1,10,1033,1318,44,18,96.633842,five
231,5,1,25,1,1,11,1099,1318,43,18,95.902847,and
232,5,1,25,1,1,12,1166,1318,69,23,95.902847,ninety
233,5,1,25,1,1,13,1251,1318,55,23,93.256844,eight
234,5,1,25,1,1,14,1322,1318,59,18,92.147362,paise
235,5,1,25,1,1,15,1390,1318,56,23,95.792038,only.
236,5,1,26,1,1,1,34,1373,36,16,96.757385,our
237,5,1,26,1,1,2,78,1373,49,16,96.881226,bank
238,5,1,26,1,1,3,134,1373,63,16,96.085434,details
239,5,1,26,1,1,4,204,1373,26,16,96.467865,for
240,5,1,26,1,1,5,243,1374,84,20,91.26944,payment
241,5,1,26,1,1,6,337,1377,1,12,91.26944,:
242,5,1,26,1,1,7,342,1374,48,19,96.602066,"yes,"
243,5,1,26,1,1,8,400,1374,63,19,95.632233,"bank,"
244,5,1,26,1,1,9,472,1374,37,16,95.632233,gr.
245,5,1,26,1,1,10,519,1374,74,16,93.013428,floor
246,5,1,26,1,1,11,601,1374,13,16,93.013428,&
247,5,1,26,1,1,12,622,1374,93,16,96.09304,second
248,5,1,26,1,1,13,724,1374,79,19,93.29641,"floor,"
249,5,1,26,1,1,14,812,1374,71,19,92.440605,"sco-4,"
250,5,1,26,1,1,15,892,1374,91,16,90.834427,sector
251,5,1,26,1,1,16,990,1374,36,19,90.834427,"-16,"
252,5,1,26,1,1,17,1036,1374,124,16,92.195381,faridabad
253,5,1,26,1,1,18,1168,1374,86,19,91.768417,"-121002,"
254,5,1,26,1,2,1,343,1400,67,16,96.269814,swift
255,5,1,26,1,2,2,418,1400,67,16,93.261612,code:
256,5,1,26,1,2,3,494,1400,158,19,91.949158,"yesbinbbdel,"
257,5,1,26,1,2,4,662,1400,48,16,93.259979,ifsc
258,5,1,26,1,2,5,718,1400,70,16,92.434875,code-
259,5,1,26,1,2,6,795,1400,150,19,90.305527,"yesb0000020,"
260,5,1,26,1,2,7,954,1400,65,16,90.529083,shahi
261,5,1,26,1,2,8,1029,1400,103,16,96.158928,exports
262,5,1,26,1,2,9,1141,1400,46,16,96.123917,pvt.
263,5,1,26,1,2,10,1197,1400,44,19,96.578041,"ltd,"
264,5,1,27,1,1,1,344,1434,80,16,92.264496,account
265,5,1,27,1,1,2,439,1434,84,16,92.264496,number-
266,5,1,27,1,1,3,530,1434,184,16,92.175789,2.0814E+12
267,5,1,28,1,1,1,35,1482,123,18,93.30407,declaration
268,5,1,28,1,1,2,169,1487,2,13,92.684196,:
269,5,1,28,1,2,1,198,1520,16,16,96.85202,2
270,5,1,28,1,2,2,230,1520,80,16,96.512321,reverse
271,5,1,28,1,2,3,318,1520,66,21,96.512321,charge
272,5,1,28,1,2,4,392,1520,98,21,92.245064,applicable
273,5,1,28,1,2,5,499,1524,3,12,92.245064,:
274,5,1,28,1,2,6,511,1520,29,16,96.693733,na
275,5,1,29,1,1,1,199,1482,15,16,95.993881,1
276,5,1,29,1,1,2,222,1482,32,16,96.342308,we
277,5,1,29,1,1,3,262,1482,71,16,94.1661,declare
278,5,1,29,1,1,4,341,1482,36,16,96.961487,that
279,5,1,29,1,1,5,384,1482,33,16,96.446472,this
280,5,1,29,1,1,6,426,1482,67,16,96.856979,invoice
281,5,1,29,1,1,7,501,1482,61,16,96.779732,shows
282,5,1,29,1,1,8,569,1482,30,16,96.988075,the
283,5,1,29,1,1,9,607,1482,57,16,97.010353,actual
284,5,1,29,1,1,10,673,1482,46,20,97.018227,price
285,5,1,29,1,1,11,726,1482,19,16,97.015945,of
286,5,1,29,1,1,12,751,1482,59,21,96.722496,goods
287,5,1,29,1,1,13,818,1482,94,16,96.88488,described
288,5,1,29,1,1,14,921,1482,34,16,96.847786,and
289,5,1,29,1,1,15,964,1483,71,15,96.9226,correct.
290,5,1,30,1,1,1,1973,1443,105,23,96.243492,signature
291,5,1,30,1,1,2,2087,1443,39,18,96.179718,and
292,5,1,30,1,1,3,2137,1443,49,18,96.179718,date
293,5,1,31,1,1,1,1913,1535,36,18,92.714554,for
294,5,1,31,1,1,2,1971,1535,73,18,85.970802,shahi
295,5,1,31,1,1,3,2055,1535,116,18,96.175728,exports
296,5,1,31,1,1,4,2181,1535,46,18,95.738831,pvt
297,5,1,31,1,1,5,2236,1535,45,18,95.738831,ltd
